2010-06-24 14:11:57 Notice: Notice (8): Undefined index:  User in [APP/views/layouts/default.ctp, line 138]
2010-06-24 14:11:57 Notice: Notice (8): Undefined index:  UserGroup in [APP/views/layouts/default.ctp, line 139]
2010-06-24 14:11:58 Notice: Notice (8): Undefined index:  User in [APP/views/layouts/default.ctp, line 138]
2010-06-24 14:11:58 Notice: Notice (8): Undefined index:  UserGroup in [APP/views/layouts/default.ctp, line 139]
2010-06-24 14:13:05 Notice: Notice (8): Undefined index:  User in [APP/views/layouts/default.ctp, line 138]
2010-06-24 14:13:05 Notice: Notice (8): Undefined index:  UserGroup in [APP/views/layouts/default.ctp, line 139]
2010-06-24 14:13:08 Notice: Notice (8): Undefined index:  User in [APP/views/layouts/default.ctp, line 138]
2010-06-24 14:13:08 Notice: Notice (8): Undefined index:  UserGroup in [APP/views/layouts/default.ctp, line 139]
2010-06-24 14:14:25 Notice: Notice (8): Undefined index:  User in [APP/views/layouts/default.ctp, line 138]
2010-06-24 14:14:25 Notice: Notice (8): Undefined index:  UserGroup in [APP/views/layouts/default.ctp, line 139]
2010-06-24 14:16:24 Notice: Notice (8): Undefined index:  User in [APP/views/layouts/default.ctp, line 139]
2010-06-24 14:16:24 Notice: Notice (8): Undefined index:  UserGroup in [APP/views/layouts/default.ctp, line 140]
2010-06-24 14:18:58 Notice: Notice (8): Undefined index:  User in [APP/views/layouts/default.ctp, line 140]
2010-06-24 14:18:58 Notice: Notice (8): Undefined index:  UserGroup in [APP/views/layouts/default.ctp, line 141]
2010-06-24 14:19:24 Notice: Notice (8): Undefined index:  User in [APP/views/layouts/default.ctp, line 140]
2010-06-24 14:19:24 Notice: Notice (8): Undefined index:  UserGroup in [APP/views/layouts/default.ctp, line 141]
2010-06-24 14:19:27 Notice: Notice (8): Undefined index:  User in [APP/views/layouts/default.ctp, line 140]
2010-06-24 14:19:27 Notice: Notice (8): Undefined index:  UserGroup in [APP/views/layouts/default.ctp, line 141]
2010-06-24 14:19:40 Notice: Notice (8): Undefined index:  User in [APP/views/layouts/default.ctp, line 140]
2010-06-24 14:19:40 Notice: Notice (8): Undefined index:  UserGroup in [APP/views/layouts/default.ctp, line 141]
2010-06-24 14:19:43 Notice: Notice (8): Undefined index:  User in [APP/views/layouts/default.ctp, line 140]
2010-06-24 14:19:43 Notice: Notice (8): Undefined index:  UserGroup in [APP/views/layouts/default.ctp, line 141]
2010-06-24 14:47:20 Notice: Notice (8): Undefined variable: currentUserId in [APP/views/dashboard/user_dashboard.ctp, line 34]
2010-06-24 14:48:34 Notice: Notice (8): Undefined variable: currentUserId in [APP/views/dashboard/user_dashboard.ctp, line 35]
2010-06-24 14:49:36 Notice: Notice (8): Undefined variable: currentUserId in [APP/views/dashboard/user_dashboard.ctp, line 35]
2010-06-24 14:50:04 Notice: Notice (8): Undefined variable: currentUserId in [APP/views/dashboard/user_dashboard.ctp, line 35]
2010-06-24 14:50:47 Notice: Notice (8): Undefined variable: currentUserId in [APP/views/dashboard/user_dashboard.ctp, line 35]
2010-06-24 14:51:03 Notice: Notice (8): Undefined variable: currentUserId in [APP/views/dashboard/user_dashboard.ctp, line 35]
2010-06-24 14:52:07 Notice: Notice (8): Undefined variable: currentUserId in [APP/views/dashboard/user_dashboard.ctp, line 36]
2010-06-24 14:52:26 Notice: Notice (8): Undefined variable: currentUserId in [APP/views/dashboard/user_dashboard.ctp, line 37]
2010-06-24 14:52:45 Notice: Notice (8): Undefined variable: currentUserId in [APP/views/dashboard/user_dashboard.ctp, line 37]
