
JCVI_PEP_1122909746498.1	HOT06-0770M	LysM domain	PF01476	GO:0016998||GO:0042834	PF01476||PF01476			PF01476
JCVI_PEP_1122909746502.1	HOT06-0770M	hypothetical protein	RF|YP_436426.1|83647991|NC_007645						349521	4.97936E-15	0.3217	0.858
JCVI_PEP_1122909746504.1	HOT06-0770M	protein Noc_2797.	SP|Q3J7F2|Y2797_NITOC					PF03668	323261	2.99803E-42	0.5325	0.974
JCVI_PEP_1122909746512.1	HOT06-0770M	insulinase||Insulysin	RF|YP_001141698.1|145298857|NC_009348||PRIAM			3.4.24.56	PRIAM		382245	2.85764E-35	0.3518	0.923
JCVI_PEP_1122909746514.1	HOT06-0770M	hypothetical protein	CAMERA						173	1.2364E-30	0.3362	0.725
JCVI_PEP_1122909746522.1	HOT06-0770M	TonB-dependent receptor plug domain	PF07715	GO:0006810||GO:0019867||GO:0022857	PF07715||PF07715||PF07715			PF07715	411154	7.43411E-32	0.2897	0.928
JCVI_PEP_1122909746526.1	HOT06-0770M	methionyl-tRNA formyltransferase||Methionyl-tRNA formyltransferase	TIGR00460||PRIAM	GO:0006431||GO:0005737||GO:0004479	TIGR00460||TIGR00460||TIGR00460	2.1.2.9	TIGR00460	TIGR00460||PF02911||PF00551	335283	1.88978E-44	0.3574	0.985
JCVI_PEP_1122909746528.1	HOT06-0770M	hypothetical protein	CAMERA
JCVI_PEP_1122909746538.1	HOT06-0770M	hypothetical protein	CAMERA
JCVI_PEP_1122909746556.1	HOT06-0770M	hypothetical protein	CAMERA
JCVI_PEP_1122909746570.1	HOT06-0770M	elongation factor G (EF-G)	RF|YP_001838545.1|183220549|NC_010602	GO:0005525	PF03144			PF03764||PF03144	145259	1.04044E-76	0.543	0.988
JCVI_PEP_1122909746580.1	HOT06-0770M	3-oxoacid CoA-transferase, A subunit||3-oxoacid CoA-transferase	RF|YP_001156282.1|145589685|NC_009379||PRIAM			2.8.3.5	PRIAM	PF01144	312153	4.63449E-35	0.5	0.83
JCVI_PEP_1122909746582.1	HOT06-0770M	30S ribosomal protein S4.	SP|A1WV98|RS4_HALHL						349124	1.46047E-14	0.6552	0.906
JCVI_PEP_1122909746588.1	HOT06-0770M	DNA-directed RNA polymerase, alpha subunit, N terminal domain||DNA-directed RNA polymerase	PF01000||PRIAM	GO:0003899||GO:0006350	PF01000||PF01000	2.7.7.6	PRIAM	PF01000	303	8.23396E-47	0.6906	0.896
JCVI_PEP_1122909746594.1	HOT06-0770M	hypothetical protein	CAMERA
JCVI_PEP_1122909746598.1	HOT06-0770M	putative tricarboxylic transport TctA	RF|YP_266612.1|71083892|NC_007205						335992	2.44262E-66	0.6203	0.979
JCVI_PEP_1122909746608.1	HOT06-0770M	tRNA synthetases class II (D, K and N)||Aspartate--tRNA ligase	PF00152||PRIAM			6.1.1.12	PRIAM	PF00152||PF02938	187272	1.91912E-105	0.6233	0.964
JCVI_PEP_1122909746610.1	HOT06-0770M	pyruvate ferredoxin/flavodoxin oxidoreductase, beta subunit	RF|YP_001581748.1|161527922|NC_010085						436308	5.33806E-62	0.6928	1
JCVI_PEP_1122909746622.1	HOT06-0770M	hypothetical protein	CAMERA						269798	3.53585E-6	0.2675	0.739
JCVI_PEP_1122909746628.1	HOT06-0770M	aminopeptidase N	RF|YP_678053.1|110637846|NC_008255			3.4.11.2	RF|YP_678053.1|110637846|NC_008255		269798	4.39119E-34	0.3571	0.819
JCVI_PEP_1122909746634.1	HOT06-0770M	hypothetical protein	RF|YP_825632.1|116623476|NC_008536						234267	3.3442E-59	0.4094	0.943
JCVI_PEP_1122909746644.1	HOT06-0770M	putative glutamate synthase (NADPH)||Glutamate synthase (NADPH)	RF|YP_001472806.1|157374206|NC_009831||PRIAM	GO:0055114||GO:0050662||GO:0016491	PF07992||PF07992||PF07992	1.4.1.13	PRIAM	PF07992||PF00070	425104	5.2898E-89	0.561	0.956
JCVI_PEP_1122909746648.1	HOT06-0770M	adenylylsulfate kinase||Adenylylsulfate kinase	RF|YP_001226025.1|148240638|NC_009481||PRIAM			2.7.1.25	PRIAM		32051	7.45268E-11	0.5645	0.516
JCVI_PEP_1122909746652.1	HOT06-0770M	cytochrome c biogenesis factor	RF|YP_446248.1|83816236|NC_007677						309807	8.22674E-38	0.4027	0.985
JCVI_PEP_1122909746672.1	HOT06-0770M	hypothetical protein	CAMERA
JCVI_PEP_1122909746678.1	HOT06-0770M	ABC-type peptide transporter permease component	RF|NP_874814.1|33239872|NC_005042	GO:0006810||GO:0005887||GO:0042626||GO:0043190	PF00528||PF00528||PF00528||PF00528			PF00528	167539	6.51375E-120	0.7881	0.978
JCVI_PEP_1122909746684.1	HOT06-0770M	rieske (2Fe-2S) domain protein	RF|YP_001118879.1|134295144|NC_009256	GO:0009055||GO:0055114	PF00355||PF00355			PF00355	381666	5.13792E-20	0.4513	0.856
JCVI_PEP_1122909746686.1	HOT06-0770M	hypothetical protein	CAMERA
JCVI_PEP_1122909746700.1	HOT06-0770M	hypothetical protein	CAMERA
JCVI_PEP_1122909746704.1	HOT06-0770M	hypothetical protein	CAMERA
JCVI_PEP_1122909746714.1	HOT06-0770M	hypothetical protein	CAMERA
JCVI_PEP_1122909746732.1	HOT06-0770M	hypothetical protein	RF|YP_465647.1|86158862|NC_007760					PF02655	290397	1.07108E-60	0.4554	0.99
JCVI_PEP_1122909746738.1	HOT06-0770M	hypothetical protein	RF|YP_742309.1|114320626|NC_008340						187272	7.65067E-70	0.6071	0.952
JCVI_PEP_1122909746752.1	HOT06-0770M	hypothetical protein	RF|YP_001105083.1|134099422|NC_009142						405948	1.60254E-13	0.3543	0.992
JCVI_PEP_1122909746762.1	HOT06-0770M	putative heme exporter C (cytochrome c-type biogenesis protein) transmembrane	RF|NP_387338.1|15966985|NC_003047						431944	4.81774E-26	0.6667	0.786
JCVI_PEP_1122909746774.1	HOT06-0770M	WD-repeat protein	RF|NP_924911.1|37521534|NC_005125					PF00400	357808	2.85037E-27	0.3444	0.564
JCVI_PEP_1122909746784.1	HOT06-0770M	hypothetical protein	CAMERA
JCVI_PEP_1122909746790.1	HOT06-0770M	galactonate dehydratase||Galactonate dehydratase	RF|YP_666145.1|110347328|NC_008243||PRIAM	GO:0019439||GO:0016853	PF02746||PF02746	4.2.1.6	PRIAM	PF02746	266779	3.70168E-33	0.4694	0.895
JCVI_PEP_1122909746812.1	HOT06-0770M	putative N-formylglutamate aminohydrolase	RF|YP_001822604.1|182434885|NC_010572						455632	1.268E-18	0.4643	0.901
JCVI_PEP_1122909746822.1	HOT06-0770M	aldehyde oxidoreductase||xanthine dehydrogenase	RF|YP_420846.1|83310582|NC_007626||PRIAM			1.17.1.4	PRIAM	PF02738	342108	6.32439E-90	0.57	0.996
JCVI_PEP_1122909746828.1	HOT06-0770M	xanthine dehydrogenase subunit B||xanthine dehydrogenase	GB|ABD74431.1|89513114|DQ417495||PRIAM			1.17.1.4	PRIAM	PF02738	28151	8.39472E-75	0.5206	0.967
